StuID,
201416920101,
201416920102,
201416920104,
201416920105,
201416920106,
201416920215,
201416920217,
201416920218,
201416920219,
201416920220,
201412030210,
201416920401,
201416920403,
201416920405,
201416920406,
201416010104,
201416010105,
201416010106,
201416010107,
201416010108,
